adz_job_id,company_name,adz_job_name,adz_category,publication_date,locations,salary_min,salary_max,salary_is_predicted,categories,level
5528015736,Advanced Technology Services,Industrial Storeroom Manager,IT Jobs,2025-12-04 15:02:35+00:00,"[{'country_code': 'US', 'subdivision_code': 'US-IL', 'city': 'Bloomington'}]",100919.6,100919.6,1,Computer and IT,Senior Level
5529989144,Advanced Technology Services,Pricing Analyst,IT Jobs,2025-12-05 16:05:37+00:00,"[{'country_code': 'US', 'subdivision_code': 'US-IL', 'city': 'Peoria'}]",73829.64,73829.64,1,Data and Analytics,Mid Level
5527259172,Advanced Technology Services,Industrial Storeroom Manager,IT Jobs,2025-12-04 07:15:10+00:00,"[{'country_code': 'US', 'subdivision_code': 'US-IL', 'city': 'Bloomington'}]",101472.98,101472.98,1,Computer and IT,Senior Level
5527289756,Advanced Technology Services,Manufacturing Maintenance Manager,IT Jobs,2025-12-04 07:50:19+00:00,"[{'country_code': 'US', 'subdivision_code': 'US-IL', 'city': 'Bellwood'}]",117333.35,117333.35,1,Data and Analytics,Senior Level
5532075581,Advanced Technology Services,Industrial Storeroom Manager,IT Jobs,2025-12-06 23:47:42+00:00,"[{'country_code': 'US', 'subdivision_code': 'US-IL', 'city': 'Normal'}]",99539.07,99539.07,1,Computer and IT,Senior Level
5524087108,Advanced Technology Services,Manufacturing Maintenance Manager,IT Jobs,2025-12-02 09:56:29+00:00,"[{'country_code': 'US', 'subdivision_code': 'US-MO', 'city': 'West Plains'}]",109934.0,109934.0,1,Data and Analytics,Senior Level
5533152036,Advanced Technology Services,Pricing Analyst,IT Jobs,2025-12-07 20:55:20+00:00,"[{'country_code': 'US', 'subdivision_code': 'US-IL', 'city': 'Peoria'}]",65577.0,83868.0,0,Data and Analytics,Mid Level
5523841388,Advanced Technology Services,Manufacturing Maintenance Manager,IT Jobs,2025-12-02 07:14:20+00:00,"[{'country_code': 'US', 'subdivision_code': 'US-MO', 'city': 'West Plains'}]",109999.34,109999.34,1,Data and Analytics,Senior Level
5526410030,Advanced Technology Services,Industrial Storeroom Manager,IT Jobs,2025-12-03 13:53:02+00:00,"[{'country_code': 'US', 'subdivision_code': 'US-IL', 'city': 'Bloomington'}]",101486.53,101486.53,1,Computer and IT,Senior Level
5526417630,Advanced Technology Services,Manufacturing Maintenance Manager,IT Jobs,2025-12-03 14:00:58+00:00,"[{'country_code': 'US', 'subdivision_code': 'US-IL', 'city': 'Bellwood'}]",117348.91,117348.91,1,Data and Analytics,Senior Level
